"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2020-01-15 00:00:00",33,44,80.71428571428571,77.57142857142857
"2020-01-16 00:00:00",22,48,79.28571428571429,81
"2020-01-17 00:00:00",33,48,79.14285714285714,81
"2020-01-18 00:00:00",32,50,77.28571428571429,82.28571428571429
"2020-01-19 00:00:00",35,64,82,81.28571428571429
"2020-01-20 00:00:00",33,49,83.28571428571429,83
"2020-01-21 00:00:00",40,41,81.71428571428571,84.42857142857143
"2020-01-22 00:00:00",32,51,82.57142857142857,84.14285714285714
"2020-01-23 00:00:00",25,45,82.57142857142857,82.14285714285714
"2020-01-24 00:00:00",36,52,83.57142857142857,80.71428571428571
"2020-01-25 00:00:00",39,52,84.85714285714286,79.14285714285714
"2020-01-26 00:00:00",30,53,82.57142857142857,83.42857142857143
"2020-01-27 00:00:00",23,47,80.85714285714286,83.42857142857143
"2020-01-28 00:00:00",35,44,80.57142857142857,83.71428571428571
"2020-01-29 00:00:00",41,41,80.42857142857143,82.85714285714286
"2020-01-30 00:00:00",33,59,83.57142857142857,83.57142857142857
"2020-01-31 00:00:00",34,63,84.85714285714286,84.71428571428571
"2020-02-01 00:00:00",29,53,83.57142857142857,85.71428571428571
"2020-02-02 00:00:00",26,53,83,82.28571428571429
"2020-02-03 00:00:00",28,57,85.14285714285714,82.14285714285714
"2020-02-04 00:00:00",32,50,85.57142857142857,79.42857142857143
"2020-02-05 00:00:00",44,51,87.42857142857143,80.57142857142857
"2020-02-06 00:00:00",29,51,85.71428571428571,80.57142857142857
"2020-02-07 00:00:00",38,55,85.14285714285714,80.42857142857143
"2020-02-08 00:00:00",26,57,85.28571428571429,83
"2020-02-09 00:00:00",28,47,84.71428571428571,83.57142857142857
"2020-02-10 00:00:00",29,48,83.57142857142857,84.57142857142857
"2020-02-11 00:00:00",30,48,83,84
"2020-02-12 00:00:00",36,50,81.71428571428571,82.57142857142857
"2020-02-13 00:00:00",35,31,79.71428571428571,81.42857142857143
"2020-02-14 00:00:00",24,48,76.71428571428571,81.42857142857143
"2020-02-15 00:00:00",34,47,76.42857142857143,80.14285714285714
"2020-02-16 00:00:00",33,49,77.42857142857143,83.14285714285714
"2020-02-17 00:00:00",47,64,82.28571428571429,83.42857142857143
"2020-02-18 00:00:00",39,51,84,85
