"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-08-14 00:00:00",26,10,35.714285714285715,
"2019-08-15 00:00:00",26,13,36.285714285714285,
"2019-08-16 00:00:00",32,10,37,
"2019-08-17 00:00:00",18,13,36.142857142857146,
"2019-08-18 00:00:00",21,7,35.57142857142857,
"2019-08-19 00:00:00",21,16,35.714285714285715,
"2019-08-20 00:00:00",19,9,34.42857142857143,
"2019-08-21 00:00:00",24,11,34.285714285714285,
"2019-08-22 00:00:00",24,12,33.857142857142854,
"2019-08-23 00:00:00",24,9,32.57142857142857,
"2019-08-24 00:00:00",20,14,33,
"2019-08-25 00:00:00",17,13,33.285714285714285,
"2019-08-26 00:00:00",17,15,32.57142857142857,
"2019-08-27 00:00:00",16,16,33.142857142857146,
"2019-08-28 00:00:00",26,10,33.285714285714285,
"2019-08-29 00:00:00",19,13,32.714285714285715,
"2019-08-30 00:00:00",26,7,32.714285714285715,
"2019-08-31 00:00:00",21,15,33,
"2019-09-01 00:00:00",21,15,33.857142857142854,
"2019-09-02 00:00:00",20,14,34.142857142857146,
"2019-09-03 00:00:00",12,17,33.714285714285715,
"2019-09-04 00:00:00",19,13,33.142857142857146,
"2019-09-05 00:00:00",19,13,33.142857142857146,
"2019-09-06 00:00:00",26,6,33,
"2019-09-07 00:00:00",22,13,32.857142857142854,
"2019-09-08 00:00:00",17,14,32.142857142857146,
"2019-09-09 00:00:00",20,11,31.714285714285715,
"2019-09-10 00:00:00",18,13,32,
"2019-09-11 00:00:00",21,14,32.42857142857143,
"2019-09-12 00:00:00",18,17,32.857142857142854,
"2019-09-13 00:00:00",20,11,32.714285714285715,
"2019-09-14 00:00:00",17,16,32.42857142857143,
"2019-09-15 00:00:00",28,5,32.714285714285715,
"2019-09-16 00:00:00",21,15,33.42857142857143,
"2019-09-17 00:00:00",16,13,33.142857142857146,
"2019-09-18 00:00:00",25,12,33.42857142857143,
"2019-09-19 00:00:00",21,9,32.714285714285715,
"2019-09-20 00:00:00",18,15,33,
"2019-09-21 00:00:00",20,11,32.714285714285715,
"2019-09-22 00:00:00",18,13,32.42857142857143,
"2019-09-23 00:00:00",19,9,31.285714285714285,
"2019-09-24 00:00:00",11,14,30.714285714285715,
"2019-09-25 00:00:00",25,7,30,
"2019-09-26 00:00:00",19,9,29.714285714285715,
"2019-09-27 00:00:00",23,7,29.285714285714285,
"2019-09-28 00:00:00",19,11,29.142857142857142,
"2019-09-29 00:00:00",20,7,28.571428571428573,
"2019-09-30 00:00:00",17,11,28.571428571428573,
"2019-10-01 00:00:00",17,14,29.428571428571427,
"2019-10-02 00:00:00",20,16,30,
"2019-10-03 00:00:00",18,16,30.857142857142858,
"2019-10-04 00:00:00",18,15,31.285714285714285,
"2019-10-05 00:00:00",18,17,32,
"2019-10-06 00:00:00",20,15,33.142857142857146,
"2019-10-07 00:00:00",18,16,34,
"2019-10-08 00:00:00",16,18,34.42857142857143,
"2019-10-09 00:00:00",25,12,34.57142857142857,
"2019-10-10 00:00:00",20,16,34.857142857142854,
"2019-10-11 00:00:00",20,14,35,
"2019-10-12 00:00:00",23,13,35.142857142857146,
